country_or_area,query_group,keyword,period_start,period_end,vacancies_found,median_salary_from,median_salary_to,currency,top_skills_json,top_employers_json,experience_distribution_json,source_key,source_title,source_url_or_file,retrieved_at,source_period,raw_value,unit,observation_status,license_or_terms,sha256_or_etag,transform_script,coverage_note
Russian Federation,digital_analytics,SQL,2026-06-18,2026-06-18,736,,,RUB,"[{""skill"": ""SQL"", ""count"": 736, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:09+00:00,2026-06-18,"{""api_meta_total"": 736, ""keyword"": ""SQL""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,226cba1257533080a8622e6047c3e8d83645dd0f3329104fa53cdabe34dc7e0d,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,digital_analytics,Python,2026-06-18,2026-06-18,425,,,RUB,"[{""skill"": ""Python"", ""count"": 425, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:10+00:00,2026-06-18,"{""api_meta_total"": 425, ""keyword"": ""Python""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,20f9916f16a5b0574844ac66e05f3a808a88105187be8092e5d4ce99de5fbc41,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,digital_analytics,аналитик,2026-06-18,2026-06-18,1636,,,RUB,"[{""skill"": ""аналитик"", ""count"": 1636, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:10+00:00,2026-06-18,"{""api_meta_total"": 1636, ""keyword"": ""аналитик""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,e02c075f0ed7474e95ea83d96c0820ade9dac41572831f4bb2eff603edd3db26,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,international_economics,международная экономика,2026-06-18,2026-06-18,140,,,RUB,"[{""skill"": ""международная экономика"", ""count"": 140, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:11+00:00,2026-06-18,"{""api_meta_total"": 140, ""keyword"": ""международная экономика""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,aa38d5097d1da86e2db5bc71e63bbb4c3acb63d46e630f1a7cbbaefbdada0fa9,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,international_economics,финансовый аналитик,2026-06-18,2026-06-18,251,,,RUB,"[{""skill"": ""финансовый аналитик"", ""count"": 251, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:12+00:00,2026-06-18,"{""api_meta_total"": 251, ""keyword"": ""финансовый аналитик""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,78cbfc9201cf1590f09e36170be479fc3d2d8da825bcbacc32eef5404449a70b,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,management_public,управление проектами,2026-06-18,2026-06-18,2949,,,RUB,"[{""skill"": ""управление проектами"", ""count"": 2949, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:12+00:00,2026-06-18,"{""api_meta_total"": 2949, ""keyword"": ""управление проектами""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,e7edd6bd865b5aacdc9e02f146f31100e749b5df39c00ac6f2b0f325504fb01f,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,management_public,государственное управление,2026-06-18,2026-06-18,10885,,,RUB,"[{""skill"": ""государственное управление"", ""count"": 10885, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:13+00:00,2026-06-18,"{""api_meta_total"": 10885, ""keyword"": ""государственное управление""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,de2d7ae233bbe3dfd40dc80da5c5e57b55ee8331eba1830a1237e145c7d6096d,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,languages_regional,английский язык,2026-06-18,2026-06-18,4211,,,RUB,"[{""skill"": ""английский язык"", ""count"": 4211, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:13+00:00,2026-06-18,"{""api_meta_total"": 4211, ""keyword"": ""английский язык""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,03717768da7fb44c7dac96b49fe41fd84c52d327dd6f7636d6a1f4b14b997bd3,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,languages_regional,китайский язык,2026-06-18,2026-06-18,2809,,,RUB,"[{""skill"": ""китайский язык"", ""count"": 2809, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:14+00:00,2026-06-18,"{""api_meta_total"": 2809, ""keyword"": ""китайский язык""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,2c78df0f4ffb25d814b9336d0d06289e331e93a08a86c9f110a0f91b6f058f70,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
Russian Federation,legal_public,юрист международное право,2026-06-18,2026-06-18,1,,,RUB,"[{""skill"": ""юрист международное право"", ""count"": 1, ""source"": ""trudvsem_meta_total""}]",[],[],trudvsem_open_data_api,Работа России open data API,data/raw/trudvsem_vacancy_counts/request_manifest.csv,2026-06-18T14:59:14+00:00,2026-06-18,"{""api_meta_total"": 1, ""keyword"": ""юрист международное право""}",vacancies,harmonized_open_data,https://trudvsem.ru/opendata/api,6c90dafa13be81999c0e898d90c087d23ac14f1f0b4d3d227f0888fde9906b23,scripts/build_platform2_artifacts.py::build_vacancy_competency,keyword-level official count; rows are not de-duplicated across keywords
