year,aggregate_capacity_demographic,baseline_observed_students_2023,wpp_capacity_ratio,aggregate_capacity_constrained,aggregate_capacity_accelerated,constrained_elasticity,demographic_elasticity,accelerated_elasticity,scenario_semantics,source_key,observation_status,retrieved_at
2026,342990.7082439107,334347.0,1.025852507257163,338641.2767652915,347396.00283044117,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2027,346287.56213327294,334347.0,1.0357130829146752,340264.907882922,352416.81675109913,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2028,349647.81477315293,334347.0,1.0457632781904815,341911.8277070265,357558.83379499917,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2029,352725.94121772586,334347.0,1.054969660914337,343413.54118369153,362290.8670959508,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2030,355435.55282756774,334347.0,1.0630738509021098,344730.05494334083,366473.5070303132,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2031,357890.31480953057,334347.0,1.070415809950532,345918.419696931,370276.5453966985,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2032,360135.1497895663,334347.0,1.077129897350855,347001.5949915679,373765.7923938505,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2033,361666.3140135879,334347.0,1.0817094635620714,347738.47513828706,376151.9994017292,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2034,362397.8700284163,334347.0,1.0838974778550916,348089.9892993059,377293.8614681235,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
2035,362306.9514643392,334347.0,1.08362554909821,348046.32206252,377151.88685661077,0.5,1.0,1.5,sensitivity_paths_not_observed_forecasts,un_wpp2024_population_by_single_age_sex;unesco_uis_opri_202602,calculated_capacity_scenario,2026-06-20T12:00:00+00:00
