model_id,iso3,country,year,friendliness_ex_ante_score,friendliness_receptivity_index,observed_component_weighted_mean,conservative_lower_bound,optimistic_upper_bound,component_coverage_score,component_count_available,effective_weight_sum,survey_component_available,evidence_reliability_class,components_available,components_missing,is_unfriendly_430r,observation_status,source_key,source_title,source_url_or_file,source_period,retrieved_at,raw_value,unit,sha256_or_etag,normalization_method,weight_version,transform_script,rank_point_estimate,rank_best_case,rank_worst_case,rank_interval_width,actual_students_latest,revealed_educational_affinity,revealed_affinity_year,revealed_affinity_semantics,rank_for_display,rank_display_policy
friendliness_receptivity_ex_ante_v4,VNM,Viet Nam,2025,74.46384773521994,74.46384773521994,87.63668882341528,56.96384773521994,91.96384773521994,0.65,3,0.65,False,moderate,F_DIPLOMATIC_ALIGNMENT;F_INSTITUTIONAL_TIES;F_POLICY_ACCESS,F_SURVEY_RUSSIA_ATTITUDE;F_RUSSIAN_LANGUAGE_ENVIRONMENT,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.65, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_INSTITUTIONAL_TIES"", ""F_POLICY_ACCESS""], ""components_missing"": [""F_RUSSIAN_LANGUAGE_ENVIRONMENT"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,14c688c15204516ce10dbdcefa7c6ee144c5c0e06ce792868114aeb0917c10d2,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,1.0,1,198,197,3300.0,93.58676126241488,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,KGZ,Kyrgyz Republic,2025,70.07262329797234,70.07262329797234,75.09077912246543,60.07262329797235,80.07262329797234,0.8,4,0.8,False,moderate,F_DIPLOMATIC_ALIGNMENT;F_INSTITUTIONAL_TIES;F_POLICY_ACCESS;F_RUSSIAN_LANGUAGE_ENVIRONMENT,F_SURVEY_RUSSIA_ATTITUDE,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.8, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_INSTITUTIONAL_TIES"", ""F_POLICY_ACCESS"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT""], ""components_missing"": [""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,443f87c5a0e9df30c152c15dca3395635f06115803129034d9d732894c963e6b,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,2.0,1,197,196,8412.0,100.0,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,PRK,"Korea, Dem. People's Rep.",2025,70.01277546029631,70.01277546029631,94.47283435621402,42.51277546029631,97.51277546029633,0.45,2,0.45,False,limited,F_DIPLOMATIC_ALIGNMENT;F_POLICY_ACCESS,F_SURVEY_RUSSIA_ATTITUDE;F_RUSSIAN_LANGUAGE_ENVIRONMENT;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.45, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_POLICY_ACCESS""], ""components_missing"": [""F_INSTITUTIONAL_TIES"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,d1cea3a36783f89809194dde0c03af0cdffc72dd2d2830460824c2d0bbe55cd9,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,3.0,1,212,211,136.0,56.83117444489313,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,BLR,Belarus,2025,68.04837138372176,68.04837138372176,80.08061897286957,48.048371383721744,88.04837138372174,0.6,3,0.6,False,limited,F_DIPLOMATIC_ALIGNMENT;F_POLICY_ACCESS;F_RUSSIAN_LANGUAGE_ENVIRONMENT,F_SURVEY_RUSSIA_ATTITUDE;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.6, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_POLICY_ACCESS"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT""], ""components_missing"": [""F_INSTITUTIONAL_TIES"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,58ef2c566551c73eaf14d3cf76f2da6787b18f0621b12f02c99175e8d0d2e53c,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,4.0,1,207,206,9369.0,100.0,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,SYR,Syrian Arab Republic,2025,67.47725890252876,67.47725890252876,88.83835311673056,39.97725890252875,94.97725890252876,0.45,2,0.45,False,limited,F_DIPLOMATIC_ALIGNMENT;F_POLICY_ACCESS,F_SURVEY_RUSSIA_ATTITUDE;F_RUSSIAN_LANGUAGE_ENVIRONMENT;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.45, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_POLICY_ACCESS""], ""components_missing"": [""F_INSTITUTIONAL_TIES"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,1ab99200988e87d51d769dee71a1ffcc4b453b8808c6129db791fcff9df0d7b1,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,5.0,1,213,212,3672.0,94.82022562646848,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,NIC,Nicaragua,2025,67.31861142770944,67.31861142770944,88.48580317268764,39.81861142770944,94.81861142770944,0.45,2,0.45,False,limited,F_DIPLOMATIC_ALIGNMENT;F_POLICY_ACCESS,F_SURVEY_RUSSIA_ATTITUDE;F_RUSSIAN_LANGUAGE_ENVIRONMENT;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.45, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_POLICY_ACCESS""], ""components_missing"": [""F_INSTITUTIONAL_TIES"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,a0915d5daa64d5cf893478d5c7c5ebe73d966861a2b68385886d6c0e5fd47cf6,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,6.0,1,213,212,23.0,36.71000647169469,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,IND,India,2025,67.02033296735479,67.02033296735479,76.18512764208431,49.5203329673548,84.52033296735479,0.65,3,0.65,True,moderate,F_DIPLOMATIC_ALIGNMENT;F_POLICY_ACCESS;F_SURVEY_RUSSIA_ATTITUDE,F_RUSSIAN_LANGUAGE_ENVIRONMENT;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.65, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_POLICY_ACCESS"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""components_missing"": [""F_INSTITUTIONAL_TIES"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT""], ""survey_component_available"": true}",0-100 index,c42b4a09bbab06b7e1f27043b7a4289dd075f4719db5f48ee7cd0e741eb36026,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,7.0,1,206,205,24904.0,100.0,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,RUS,Russian Federation,2025,66.59477967918674,66.59477967918674,97.41365622624782,34.094779679186736,99.09477967918674,0.35,2,0.35,False,low,F_POLICY_ACCESS;F_RUSSIAN_LANGUAGE_ENVIRONMENT,F_SURVEY_RUSSIA_ATTITUDE;F_DIPLOMATIC_ALIGNMENT;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.35, ""components_available"": [""F_POLICY_ACCESS"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT""], ""components_missing"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_INSTITUTIONAL_TIES"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,ac86d45de1821009e231fc997d4297547e0b76c6b67d0ae134994aa86550dcd7,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,8.0,1,215,214,,,,,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,VEN,"Venezuela, RB",2025,66.4158160638801,66.4158160638801,86.47959125306687,38.9158160638801,93.91581606388011,0.45,2,0.45,False,limited,F_DIPLOMATIC_ALIGNMENT;F_POLICY_ACCESS,F_SURVEY_RUSSIA_ATTITUDE;F_RUSSIAN_LANGUAGE_ENVIRONMENT;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.45, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_POLICY_ACCESS""], ""components_missing"": [""F_INSTITUTIONAL_TIES"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,869e3f04e0df0d593b71c7e30cd496252be19129b39d8dccffb11003d014f768,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,9.0,1,213,212,153.0,58.18232556872061,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
friendliness_receptivity_ex_ante_v4,PAK,Pakistan,2025,66.37628425283746,66.37628425283746,86.39174278408325,38.876284252837465,93.87628425283748,0.45,2,0.45,False,limited,F_DIPLOMATIC_ALIGNMENT;F_POLICY_ACCESS,F_SURVEY_RUSSIA_ATTITUDE;F_RUSSIAN_LANGUAGE_ENVIRONMENT;F_INSTITUTIONAL_TIES,False,calculated_ex_ante_index,friendliness_receptivity_ex_ante_v4,Composite ex-ante friendliness index from published components,data/model_outputs/current/friendliness_components.csv,2025,not_applicable_calculated_from_component_passports,"{""component_coverage_score"": 0.45, ""components_available"": [""F_DIPLOMATIC_ALIGNMENT"", ""F_POLICY_ACCESS""], ""components_missing"": [""F_INSTITUTIONAL_TIES"", ""F_RUSSIAN_LANGUAGE_ENVIRONMENT"", ""F_SURVEY_RUSSIA_ATTITUDE""], ""survey_component_available"": false}",0-100 index,0b6a89b1ee53a774f071de8dd737357a8182498b3d589d70833b6dc520b40ffa,planned-weight neutral 0.5 imputation for missing components; sharp 0/1 bounds and observed-only mean published separately,friendliness_ex_ante_v3_survey_informed,mgimo_platform2.models.friendliness_v2::build_friendliness_index_v3,10.0,1,213,212,636.0,74.5827693599341,2023.0,descriptive_observed_student_stock_not_an_ex_ante_friendliness_component,,hidden_when_rank_interval_is_not_identifiable
