forecast_year,recommended_annual_quota_persons,foreign_labor_stock_need_persons,cumulative_recommended_quota_persons,labor_demand_required_persons,domestic_sector_supply_total_with_unemployment_reserve_persons,unemployment_reserve_sector_allocated_persons,source_key,source_url_or_file,retrieved_at,source_period,raw_value,unit,transform_script,transformation_script,observation_status,sha256_or_etag,source_row_sha256
2025,341920.2353456894,341920.2353456894,341920.2353456894,73030359.67270625,74764950.93648185,1616504.4522095304,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":341920.2353456894,""domestic_sector_supply_total_with_unemployment_reserve_persons"":74764950.93648185,""foreign_labor_stock_need_persons"":341920.2353456894,""labor_demand_required_persons"":73030359.67270625,""recommended_annual_quota_persons"":341920.2353456894,""unemployment_reserve_sector_allocated_persons"":1616504.4522095304}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,2a731a459c7c42d2d765fd6161f301039cf9b24833e66a88bdead9bbb1103ec8
2026,346503.7771304408,688414.6909723133,688424.0124761302,72998066.43485668,74583497.00280873,1617074.283747806,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2026,"{""cumulative_recommended_quota_persons"":688424.0124761302,""domestic_sector_supply_total_with_unemployment_reserve_persons"":74583497.00280873,""foreign_labor_stock_need_persons"":688414.6909723133,""labor_demand_required_persons"":72998066.43485668,""recommended_annual_quota_persons"":346503.7771304408,""unemployment_reserve_sector_allocated_persons"":1617074.283747806}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4a2cc7edb40dd46ff370b26a7055ddf017577161c6c83c039080447d1f55814e
2027,311845.7393499764,1000260.4303222897,1000269.7518261067,73121431.57835764,74443471.50125316,1618770.5341311595,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2027,"{""cumulative_recommended_quota_persons"":1000269.7518261067,""domestic_sector_supply_total_with_unemployment_reserve_persons"":74443471.50125316,""foreign_labor_stock_need_persons"":1000260.4303222897,""labor_demand_required_persons"":73121431.57835764,""recommended_annual_quota_persons"":311845.7393499764,""unemployment_reserve_sector_allocated_persons"":1618770.5341311595}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,b158f088a53114d902a828c68be4e21b006e424acf2fd23c1afd99cf74c265a9
2028,316605.20009340136,1316865.630415691,1316874.951919508,73315162.26686534,74254136.37419426,1619044.5430416018,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2028,"{""cumulative_recommended_quota_persons"":1316874.951919508,""domestic_sector_supply_total_with_unemployment_reserve_persons"":74254136.37419426,""foreign_labor_stock_need_persons"":1316865.630415691,""labor_demand_required_persons"":73315162.26686534,""recommended_annual_quota_persons"":316605.20009340136,""unemployment_reserve_sector_allocated_persons"":1619044.5430416018}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,307878316c8478be85a717e8ec2f82b1a930cecfaebf23b844e0189b7b9c92d6
2029,323101.04691869835,1639966.6773343894,1639975.9988382063,73544795.38679975,74020674.1332675,1618216.3264636279,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2029,"{""cumulative_recommended_quota_persons"":1639975.9988382063,""domestic_sector_supply_total_with_unemployment_reserve_persons"":74020674.1332675,""foreign_labor_stock_need_persons"":1639966.6773343894,""labor_demand_required_persons"":73544795.38679975,""recommended_annual_quota_persons"":323101.04691869835,""unemployment_reserve_sector_allocated_persons"":1618216.3264636279}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,3b223008f0604bd93c899f4841dd590958f79273e4c3aa6a52ea457b173f099f
2030,322672.98819730396,1962639.6655316935,1962648.9870355104,73788172.0004156,73789942.86389317,1617372.2463947341,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2030,"{""cumulative_recommended_quota_persons"":1962648.9870355104,""domestic_sector_supply_total_with_unemployment_reserve_persons"":73789942.86389317,""foreign_labor_stock_need_persons"":1962639.6655316935,""labor_demand_required_persons"":73788172.0004156,""recommended_annual_quota_persons"":322672.98819730396,""unemployment_reserve_sector_allocated_persons"":1617372.2463947341}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,62f54ef15e58a22042b2779cd966b374a913f8dc7c413fe05c90134ec079f63f
2031,335764.73458026914,2298404.4001119626,2298413.7216157797,74030916.97781296,73561753.93994129,1616038.2333795629,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2031,"{""cumulative_recommended_quota_persons"":2298413.7216157797,""domestic_sector_supply_total_with_unemployment_reserve_persons"":73561753.93994129,""foreign_labor_stock_need_persons"":2298404.4001119626,""labor_demand_required_persons"":74030916.97781296,""recommended_annual_quota_persons"":335764.73458026914,""unemployment_reserve_sector_allocated_persons"":1616038.2333795629}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,957160879cff4b2916592461bc90fe97e315330fb4f02a94370a14e300069f56
2032,455322.1682643844,2753726.568376347,2753735.889880164,74262264.56817885,73222106.50143073,1611941.9987483297,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2032,"{""cumulative_recommended_quota_persons"":2753735.889880164,""domestic_sector_supply_total_with_unemployment_reserve_persons"":73222106.50143073,""foreign_labor_stock_need_persons"":2753726.568376347,""labor_demand_required_persons"":74262264.56817885,""recommended_annual_quota_persons"":455322.1682643844,""unemployment_reserve_sector_allocated_persons"":1611941.9987483297}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,ae9a160d837b3f4a33596a383a783cf3886232ceada32ad7db3dfd8b830f4ae6
2033,577465.7822618393,3331192.350638186,3331201.672142003,74464625.00434317,72750358.59841351,1605061.927230854,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2033,"{""cumulative_recommended_quota_persons"":3331201.672142003,""domestic_sector_supply_total_with_unemployment_reserve_persons"":72750358.59841351,""foreign_labor_stock_need_persons"":3331192.350638186,""labor_demand_required_persons"":74464625.00434317,""recommended_annual_quota_persons"":577465.7822618393,""unemployment_reserve_sector_allocated_persons"":1605061.927230854}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,6c1ab69bfbf821c760dd4ab0261a58d60e2cf3d5692a7184fcf7280c51fa19c3
2034,686867.7200049888,4018060.070643175,4018069.392146992,74628375.38111494,72108524.23158401,1594025.0875094314,foreign_labor_migration_v5_forecast_by_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2034,"{""cumulative_recommended_quota_persons"":4018069.392146992,""domestic_sector_supply_total_with_unemployment_reserve_persons"":72108524.23158401,""foreign_labor_stock_need_persons"":4018060.070643175,""labor_demand_required_persons"":74628375.38111494,""recommended_annual_quota_persons"":686867.7200049888,""unemployment_reserve_sector_allocated_persons"":1594025.0875094314}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,e0e6bd92e0f4a10269b79ff28ad5af18e0eb8a73ef35c366a5ecffe6367b81c9
