territory_id,territory_name,federal_district_name,forecast_year,recommended_annual_quota_persons,foreign_labor_stock_need_persons,cumulative_recommended_quota_persons,labor_demand_required_persons,domestic_sector_supply_total_with_unemployment_reserve_persons,unemployment_reserve_sector_allocated_persons,source_key,source_url_or_file,retrieved_at,source_period,raw_value,unit,transform_script,transformation_script,observation_status,sha256_or_etag,source_row_sha256
TER078,Алтайский край,Сибирский федеральный округ (с 03.11.2018),2025,0.0,0.0,0.0,1048740.8170696977,1098871.8081667894,37361.641477690326,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":0,""domestic_sector_supply_total_with_unemployment_reserve_persons"":1098871.8081667894,""foreign_labor_stock_need_persons"":0,""labor_demand_required_persons"":1048740.8170696977,""recommended_annual_quota_persons"":0,""unemployment_reserve_sector_allocated_persons"":37361.641477690326}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,856ef8afb2c2c02d703e28684c94e1264c61fcb8117abe8357b035e2d40ee06b
TER092,Амурская область,Дальневосточный федеральный округ (с 03.11.2018),2025,0.0,0.0,0.0,384683.6366534787,409057.2080269712,4908.686496315712,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":0,""domestic_sector_supply_total_with_unemployment_reserve_persons"":409057.2080269712,""foreign_labor_stock_need_persons"":0,""labor_demand_required_persons"":384683.6366534787,""recommended_annual_quota_persons"":0,""unemployment_reserve_sector_allocated_persons"":4908.686496315712}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,5507af125eeb7478be4593d8feabb11ad0bc93c0377ba068c4769a19a64b4c5e
TER026,Архангельская область (кроме Ненецкого автономного округа),Северо-Западный федеральный округ,2025,3384.4354859907544,3384.4354859907544,3384.4354859907544,431551.91314952815,433120.6152752413,11261.135997205209,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":3384.4354859907544,""domestic_sector_supply_total_with_unemployment_reserve_persons"":433120.6152752413,""foreign_labor_stock_need_persons"":3384.4354859907544,""labor_demand_required_persons"":431551.91314952815,""recommended_annual_quota_persons"":3384.4354859907544,""unemployment_reserve_sector_allocated_persons"":11261.135997205209}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,cac65d397f3a4a59495f0fed8c1e10be21b160e0d650dd1b24bf08eae0a3e181
TER039,Астраханская область,Южный федеральный округ (с 29.07.2016),2025,3439.6617148023943,3439.6617148023943,3439.6617148023943,495338.81974492123,495816.2736518866,10907.958020345295,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":3439.6617148023943,""domestic_sector_supply_total_with_unemployment_reserve_persons"":495816.2736518866,""foreign_labor_stock_need_persons"":3439.6617148023943,""labor_demand_required_persons"":495338.81974492123,""recommended_annual_quota_persons"":3439.6617148023943,""unemployment_reserve_sector_allocated_persons"":10907.958020345295}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4550cdfd04326e9f6114baa8660c28d0e89d8fde15ce1ac4712ee73f7b039e8e
TER003,Белгородская область,Центральный федеральный округ,2025,8802.061853568608,8802.061853568608,8802.061853568608,781585.3075530949,777103.2949211658,13987.859308552579,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":8802.061853568608,""domestic_sector_supply_total_with_unemployment_reserve_persons"":777103.2949211658,""foreign_labor_stock_need_persons"":8802.061853568608,""labor_demand_required_persons"":781585.3075530949,""recommended_annual_quota_persons"":8802.061853568608,""unemployment_reserve_sector_allocated_persons"":13987.859308552579}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,a4ef389444d274ede4eb2a5ef7003f1f862ce52d7a8e60add56afa27f32e2407
TER004,Брянская область,Центральный федеральный округ,2025,1872.902149902744,1872.902149902744,1872.902149902744,513808.4436314667,516849.8089718938,10853.845988389396,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":1872.902149902744,""domestic_sector_supply_total_with_unemployment_reserve_persons"":516849.8089718938,""foreign_labor_stock_need_persons"":1872.902149902744,""labor_demand_required_persons"":513808.4436314667,""recommended_annual_quota_persons"":1872.902149902744,""unemployment_reserve_sector_allocated_persons"":10853.845988389396}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,d1a27e8101d80c82fbb91b364e053ac85cd1bac2d1119ac2985dca47c26d474b
TER005,Владимирская область,Центральный федеральный округ,2025,9517.7514160264,9517.7514160264,9517.7514160264,655945.7871147775,649736.1166854083,12344.986217035388,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":9517.7514160264,""domestic_sector_supply_total_with_unemployment_reserve_persons"":649736.1166854083,""foreign_labor_stock_need_persons"":9517.7514160264,""labor_demand_required_persons"":655945.7871147775,""recommended_annual_quota_persons"":9517.7514160264,""unemployment_reserve_sector_allocated_persons"":12344.986217035388}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,8d546b32a71b069486caf0b620c7d8f005f5cd74b461e171291933cd340ca472
TER040,Волгоградская область,Южный федеральный округ (с 29.07.2016),2025,8208.103067188233,8208.103067188233,8208.103067188233,1179798.1616987856,1180015.855275357,22420.301250254444,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":8208.103067188233,""domestic_sector_supply_total_with_unemployment_reserve_persons"":1180015.855275357,""foreign_labor_stock_need_persons"":8208.103067188233,""labor_demand_required_persons"":1179798.1616987856,""recommended_annual_quota_persons"":8208.103067188233,""unemployment_reserve_sector_allocated_persons"":22420.301250254444}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,42bd0610d3a9826e6e05501acdfba684ef8485c321239774f82a010b5666ce42
TER027,Вологодская область,Северо-Западный федеральный округ,2025,274.0612857121305,274.0612857121305,274.0612857121305,499882.3618197351,505284.917881813,8589.843603959438,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":274.0612857121305,""domestic_sector_supply_total_with_unemployment_reserve_persons"":505284.917881813,""foreign_labor_stock_need_persons"":274.0612857121305,""labor_demand_required_persons"":499882.3618197351,""recommended_annual_quota_persons"":274.0612857121305,""unemployment_reserve_sector_allocated_persons"":8589.843603959438}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,3d877903a0929756038033269ef5fc31e70e3c2db3769d2e5bd2d23123100b43
TER006,Воронежская область,Центральный федеральный округ,2025,14649.600216346436,14649.600216346436,14649.600216346436,1195715.626980107,1188711.2833041456,23774.225666071103,foreign_labor_migration_v5_region_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":14649.600216346436,""domestic_sector_supply_total_with_unemployment_reserve_persons"":1188711.2833041456,""foreign_labor_stock_need_persons"":14649.600216346436,""labor_demand_required_persons"":1195715.626980107,""recommended_annual_quota_persons"":14649.600216346436,""unemployment_reserve_sector_allocated_persons"":23774.225666071103}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,664160662d003bc2c7e7a46e90c82787108e6865e6c351891ceea832530de8c6
