activity_id,okved_section,activity_name,forecast_year,recommended_annual_quota_persons,foreign_labor_stock_need_persons,cumulative_recommended_quota_persons,labor_demand_required_persons,domestic_sector_supply_total_with_unemployment_reserve_persons,unemployment_reserve_sector_allocated_persons,source_key,source_url_or_file,retrieved_at,source_period,raw_value,unit,transform_script,transformation_script,observation_status,sha256_or_etag,source_row_sha256
OKVED_A,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2025,23585.146609028343,23585.146609028343,23585.146609028343,4287977.083409688,4356805.146429026,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":23585.146609028343,""domestic_sector_supply_total_with_unemployment_reserve_persons"":4356805.146429026,""foreign_labor_stock_need_persons"":23585.146609028343,""labor_demand_required_persons"":4287977.083409688,""recommended_annual_quota_persons"":23585.146609028343,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4ac7a40d0f2b6e0660334d110c8cb3faa5b977b4f296b476639d34ae85550aca
OKVED_B,B,Добыча полезных ископаемых,2025,25498.380498201743,25498.380498201743,25498.380498201743,1274581.845911975,1328034.343526985,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":25498.380498201743,""domestic_sector_supply_total_with_unemployment_reserve_persons"":1328034.343526985,""foreign_labor_stock_need_persons"":25498.380498201743,""labor_demand_required_persons"":1274581.845911975,""recommended_annual_quota_persons"":25498.380498201743,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,739b408041ef1193e912e33e15e02eac8e1ebeb1380227ffa6e7fc1a1609af2b
OKVED_C,C,Обрабатывающие производства,2025,60781.97708641987,60781.97708641987,60781.97708641987,10420719.727441935,10526438.896779522,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":60781.97708641987,""domestic_sector_supply_total_with_unemployment_reserve_persons"":10526438.896779522,""foreign_labor_stock_need_persons"":60781.97708641987,""labor_demand_required_persons"":10420719.727441935,""recommended_annual_quota_persons"":60781.97708641987,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,ed8fb5f07c14dae8fc0c8cadfbc7c398a34faa4c4199f735d2a5877e7f59bf51
OKVED_D,D,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2025,3986.579076676544,3986.579076676544,3986.579076676544,1512553.7620317654,1589465.9005509475,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":3986.579076676544,""domestic_sector_supply_total_with_unemployment_reserve_persons"":1589465.9005509475,""foreign_labor_stock_need_persons"":3986.579076676544,""labor_demand_required_persons"":1512553.7620317654,""recommended_annual_quota_persons"":3986.579076676544,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,09105e50f0460d64755b3f86a087194f0a6aeea3989044827d33feb969f42e87
OKVED_E,E,"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2025,86.89405861351293,86.89405861351293,86.89405861351293,678020.8072266233,759469.0360302294,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":86.89405861351293,""domestic_sector_supply_total_with_unemployment_reserve_persons"":759469.0360302294,""foreign_labor_stock_need_persons"":86.89405861351293,""labor_demand_required_persons"":678020.8072266233,""recommended_annual_quota_persons"":86.89405861351293,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4c7a13331aa6747cf13d91d100d2975b81ff2c754abaae81e37321f0022cb1fc
OKVED_F,F,Строительство,2025,35618.6474046802,35618.6474046802,35618.6474046802,6758426.305480697,6857900.292582281,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":35618.6474046802,""domestic_sector_supply_total_with_unemployment_reserve_persons"":6857900.292582281,""foreign_labor_stock_need_persons"":35618.6474046802,""labor_demand_required_persons"":6758426.305480697,""recommended_annual_quota_persons"":35618.6474046802,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,d8b2224f32abeaad601ed0081fd40731eebeb385894037e3741c1a5c224982a9
OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2025,89150.16020076742,89150.16020076742,89150.16020076742,13435705.319161216,13549890.04566745,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":89150.16020076742,""domestic_sector_supply_total_with_unemployment_reserve_persons"":13549890.04566745,""foreign_labor_stock_need_persons"":89150.16020076742,""labor_demand_required_persons"":13435705.319161216,""recommended_annual_quota_persons"":89150.16020076742,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4ea34bf4c989f62f683eb1428b1fa102023d0c9f74b794deb3c27aea53ca1854
OKVED_H,H,Транспортировка и хранение,2025,31792.93597992683,31792.93597992683,31792.93597992683,5915342.164490998,6005265.179446051,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":31792.93597992683,""domestic_sector_supply_total_with_unemployment_reserve_persons"":6005265.179446051,""foreign_labor_stock_need_persons"":31792.93597992683,""labor_demand_required_persons"":5915342.164490998,""recommended_annual_quota_persons"":31792.93597992683,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,6f2987a1c04dfddbef1f774c28aa08de0aa8e6ac67ecc0a05dff84929a5bec23
OKVED_I,I,Деятельность гостиниц и предприятий общественного питания,2025,2201.0789949552895,2201.0789949552895,2201.0789949552895,2083040.4615806686,2169649.622693233,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":2201.0789949552895,""domestic_sector_supply_total_with_unemployment_reserve_persons"":2169649.622693233,""foreign_labor_stock_need_persons"":2201.0789949552895,""labor_demand_required_persons"":2083040.4615806686,""recommended_annual_quota_persons"":2201.0789949552895,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,50b86aa9bf1579ae4147f6ffb95c438b502d341db796aa8dec35fcc967473cf7
OKVED_J,J,Деятельность в области информации и связи,2025,624.0730367183595,624.0730367183595,624.0730367183595,1873246.5820230434,1971351.4759347308,81572.4144713147,foreign_labor_migration_v5_sector_year,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2025,"{""cumulative_recommended_quota_persons"":624.0730367183595,""domestic_sector_supply_total_with_unemployment_reserve_persons"":1971351.4759347308,""foreign_labor_stock_need_persons"":624.0730367183595,""labor_demand_required_persons"":1873246.5820230434,""recommended_annual_quota_persons"":624.0730367183595,""unemployment_reserve_sector_allocated_persons"":81572.4144713147}","{""cumulative_recommended_quota_persons"":""persons"",""domestic_sector_supply_total_with_unemployment_reserve_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""labor_demand_required_persons"":""persons"",""recommended_annual_quota_persons"":""persons"",""unemployment_reserve_sector_allocated_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_year_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,156dfd0d00247564273dc1ffb5394c6e89426f72c0645ebf411fe1ba5be5c21f
