territory_id,territory_name,federal_district_name,activity_id,okved_section,activity_name,forecast_year,recommended_annual_quota_persons,foreign_labor_stock_need_persons,cumulative_recommended_quota_persons,forecast_quality_flag,training_source_coverage_flag,source_key,source_url_or_file,retrieved_at,source_period,raw_value,unit,transform_script,transformation_script,observation_status,sha256_or_etag,source_row_sha256
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,10388.988622083096,192693.055127952,192693.055127952,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":192693.055127952,""foreign_labor_stock_need_persons"":192693.055127952,""recommended_annual_quota_persons"":10388.988622083096}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,b3cc8c407e8c622fd72e809472c0437bc0e2f5ee4e01bbdfec0c20d3e18c411c
TER012,Московская область,Центральный федеральный округ,OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,5934.357674482744,52664.48968581611,52664.48968581611,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":52664.48968581611,""foreign_labor_stock_need_persons"":52664.48968581611,""recommended_annual_quota_persons"":5934.357674482744}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,869aa680989b6af321b7b17f052408bbf83476421dd0af945d325b2537d2c167
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_H,H,Транспортировка и хранение,2050,4974.567787857144,85978.12940459908,85978.12940459908,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":85978.12940459908,""foreign_labor_stock_need_persons"":85978.12940459908,""recommended_annual_quota_persons"":4974.567787857144}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,f261a680a8ead6c4bfaf971d3759a85ca8d09b8d498cd3fc22ba6b4db4f59fe9
TER070,Ханты-Мансийский автономный округ - Югра (Тюменская область),Уральский федеральный округ,OKVED_B,B,Добыча полезных ископаемых,2050,4243.618326361175,82144.82734971587,82144.82734971587,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":82144.82734971587,""foreign_labor_stock_need_persons"":82144.82734971587,""recommended_annual_quota_persons"":4243.618326361175}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,0a5bb4ce3d215a84928c56011a7e65024b58ad6b506e4bd0880aeaf0455c6b38
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_N,N,Деятельность административная и сопутствующие дополнительные услуги,2050,4041.8843872498255,61939.41091165756,61939.41091165756,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":61939.41091165756,""foreign_labor_stock_need_persons"":61939.41091165756,""recommended_annual_quota_persons"":4041.8843872498255}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,81ec944ae9dff4101be5275b94aa8e749556ce8641525c7ed2c8bc0eb08bc2d8
TER033,Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,4032.060552475159,82047.53620028007,82047.53620028007,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":82047.53620028007,""foreign_labor_stock_need_persons"":82047.53620028007,""recommended_annual_quota_persons"":4032.060552475159}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,fe39cfb836dd1a13401517b20aabbadc1c989b071eb18024287a7e9aa6bd7da0
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_F,F,Строительство,2050,3940.772726117401,81041.59634460823,81041.59634460823,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":81041.59634460823,""foreign_labor_stock_need_persons"":81041.59634460823,""recommended_annual_quota_persons"":3940.772726117401}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,cb1af63d3a2ea5e1d10c2765909da4fdc4cd728c8514e343408affaa4cbc6b8b
TER012,Московская область,Центральный федеральный округ,OKVED_C,C,Обрабатывающие производства,2050,3272.339057718462,30555.99723524769,30555.99723524769,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":30555.99723524769,""foreign_labor_stock_need_persons"":30555.99723524769,""recommended_annual_quota_persons"":3272.339057718462}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,f41484740718d5032cc8f5961c6b9ddac16a23377d3e34ae7fbc5d375148a5a5
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_Q,Q,Деятельность в области здравоохранения и социальных услуг,2050,3226.852824748552,49183.390286716574,49183.390286716574,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":49183.390286716574,""foreign_labor_stock_need_persons"":49183.390286716574,""recommended_annual_quota_persons"":3226.852824748552}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,7fd86f16ee12d46287f37d760195672f019d1e08090098991c4fe997840d476e
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_C,C,Обрабатывающие производства,2050,3117.6372540867305,68759.91023067856,68759.91023067856,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":68759.91023067856,""foreign_labor_stock_need_persons"":68759.91023067856,""recommended_annual_quota_persons"":3117.6372540867305}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,12b379a8442846f7d48a27f875d69045037266121e0755cf65fb5a6c272433d1
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_P,P,Образование,2050,3109.662146731396,49905.26618663519,49905.26618663519,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":49905.26618663519,""foreign_labor_stock_need_persons"":49905.26618663519,""recommended_annual_quota_persons"":3109.662146731396}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,f59200efef464a76e4ea1687fa734e4f626f7d95290f31703c0ee06b6c0cc41a
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_M,M,"Деятельность профессиональная, научная и техническая",2050,2842.120821437391,62535.29641156679,62535.29641156679,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":62535.29641156679,""foreign_labor_stock_need_persons"":62535.29641156679,""recommended_annual_quota_persons"":2842.120821437391}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4bfcc08030e38a192565b43127c8bcf67d43c4439e598af4e545e18f24be2153
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_J,J,Деятельность в области информации и связи,2050,2750.0435501248576,56057.18205407483,56057.18205407483,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":56057.18205407483,""foreign_labor_stock_need_persons"":56057.18205407483,""recommended_annual_quota_persons"":2750.0435501248576}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4595e6455aa4b49623e68d969a4d8c3d2abb7b9e0777a90fcb5b3c1396633726
TER012,Московская область,Центральный федеральный округ,OKVED_H,H,Транспортировка и хранение,2050,2715.2960767806508,21787.963429425028,21787.963429425028,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":21787.963429425028,""foreign_labor_stock_need_persons"":21787.963429425028,""recommended_annual_quota_persons"":2715.2960767806508}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4aadbde20e0a57fe132737b6b374549a1acd00146f6f96a3ccce13f6f6dff1bd
TER038,Краснодарский край,Южный федеральный округ (с 29.07.2016),OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,2652.712007925031,94519.60233078244,94519.60233078244,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":94519.60233078244,""foreign_labor_stock_need_persons"":94519.60233078244,""recommended_annual_quota_persons"":2652.712007925031}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,f99a4a7f0a4bb26c9413c3418f3e262914ea0f2946db362d2849442cfdbc73d3
