activity_id,okved_section,activity_name,recommended_annual_quota_persons,foreign_labor_stock_need_persons,cumulative_recommended_quota_persons,forecast_year,source_key,source_url_or_file,retrieved_at,source_period,raw_value,unit,transform_script,transformation_script,observation_status,sha256_or_etag,source_row_sha256
OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,67290.3644463305,2082540.9159877242,2082549.527570465,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":2082549.527570465,""foreign_labor_stock_need_persons"":2082540.9159877242,""recommended_annual_quota_persons"":67290.3644463305}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,2dd4e59e451f413e86914d41a177c6373dac2e8bc626b7ddd19942f536bd5c75
OKVED_H,H,Транспортировка и хранение,35814.69754906819,998197.8468788414,998197.8468788414,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":998197.8468788414,""foreign_labor_stock_need_persons"":998197.8468788414,""recommended_annual_quota_persons"":35814.69754906819}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,0820e4ac9246d1807f03417cc5584c49d0cedf122c6faad464657e0519641bc7
OKVED_P,P,Образование,35603.6398918706,953692.5269082236,953699.362934807,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":953699.362934807,""foreign_labor_stock_need_persons"":953692.5269082236,""recommended_annual_quota_persons"":35603.6398918706}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,b59fe86ba11f2ca926126885aca348089a9e3664a56d47d2c24cc1d52570d516
OKVED_Q,Q,Деятельность в области здравоохранения и социальных услуг,34396.48793649177,840659.8496196583,840662.1116927493,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":840662.1116927493,""foreign_labor_stock_need_persons"":840659.8496196583,""recommended_annual_quota_persons"":34396.48793649177}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,a9224eeb162914a35b21aae61bdcc53cdaeccd486ef8f0fe2686a178e327a961
OKVED_C,C,Обрабатывающие производства,28134.984726354865,1259708.4121625521,1260230.3882989155,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":1260230.3882989155,""foreign_labor_stock_need_persons"":1259708.4121625521,""recommended_annual_quota_persons"":28134.984726354865}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,71e2d3e7c44a16dbea066c110d33797f45b260420dbf8e1cf24ef143456edc85
OKVED_F,F,Строительство,22717.62341638093,833569.6684374333,833580.0723659793,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":833580.0723659793,""foreign_labor_stock_need_persons"":833569.6684374333,""recommended_annual_quota_persons"":22717.62341638093}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,dcf3cb383181237fbf80efb0b83d6d9e238159046e59532230c1ba25d9eb2f90
OKVED_O,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,20887.070836219245,582515.1317941352,582520.7150779717,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":582520.7150779717,""foreign_labor_stock_need_persons"":582515.1317941352,""recommended_annual_quota_persons"":20887.070836219245}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,7cd84a97b9a703e0b1be7080913ad88ada9a292b33c8b14598d47bcf744f34c6
OKVED_N,N,Деятельность административная и сопутствующие дополнительные услуги,20169.671303012838,421919.9446049437,421919.9446049437,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":421919.9446049437,""foreign_labor_stock_need_persons"":421919.9446049437,""recommended_annual_quota_persons"":20169.671303012838}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,c441219f5078f7a8d646854341ed5c5d55d6b797c9849f17bd4986a494268131
OKVED_B,B,Добыча полезных ископаемых,16969.87732107397,401313.14208134095,401313.14208134095,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":401313.14208134095,""foreign_labor_stock_need_persons"":401313.14208134095,""recommended_annual_quota_persons"":16969.87732107397}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,2978f847d73fe1670704d9fcc3af3da0e1dfbd5a59a076f55f76a4fbaca6a714
OKVED_A,A,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",14970.478091582412,602422.7349617,602434.1171845667,2050,foreign_labor_migration_v5_top_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":602434.1171845667,""foreign_labor_stock_need_persons"":602422.7349617,""recommended_annual_quota_persons"":14970.478091582412}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_sector_sum,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,1855d3072db4bfcf24345323de88e9836ade93fcb1d3c498b893d663d7da3e5d
