iso3,country,year,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable,dk_refused,favorable_percent,unfavorable_percent,question,source_key,source_title,source_url,source_pages,unit,observation_status,notes
USA,United States,2023,1,6,29,62,2,7,91,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
CAN,Canada,2023,2,10,20,61,7,12,81,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
FRA,France,2023,4,11,30,52,4,15,82,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
DEU,Germany,2023,2,8,37,49,4,10,86,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
GRC,Greece,2023,9,23,34,32,3,32,66,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
HUN,Hungary,2023,2,21,34,39,3,23,73,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
ITA,Italy,2023,5,13,30,49,3,18,79,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
NLD,Netherlands,2023,1,6,20,71,1,7,91,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
POL,Poland,2023,0,1,8,90,1,1,98,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
ESP,Spain,2023,2,3,29,63,3,5,92,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
SWE,Sweden,2023,1,2,14,82,2,3,96,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
GBR,United Kingdom,2023,3,7,23,67,1,10,90,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
AUS,Australia,2023,1,7,22,70,1,8,92,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
IND,India,2023,23,34,13,18,11,57,31,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
IDN,Indonesia,2023,10,32,24,6,27,42,30,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
JPN,Japan,2023,1,4,25,68,2,5,93,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
KOR,South Korea,2023,1,13,39,46,1,14,85,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
ISR,Israel,2023,2,11,25,58,3,13,83,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
KEN,Kenya,2023,12,28,18,29,12,40,47,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
NGA,Nigeria,2023,16,26,20,26,12,42,46,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
ZAF,South Africa,2023,14,14,11,46,15,28,57,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
ARG,Argentina,2023,8,9,22,35,25,17,57,Q3f. Overall opinion of Russia,pew_global_attitudes_russia_2023_q3f,Pew Research Center Spring 2023 Global Attitudes Survey topline,https://www.pewresearch.org/global/wp-content/uploads/sites/2/2023/07/PG_2023.07.10_Russia-NATO_Topline.pdf,47-51 (PDF pages 5-9),percent_of_adults,published_national_sample_survey,Published rounded percentages; totals can differ from 100 due rounding. Favorable is very favorable plus somewhat favorable.
